10,0,1
15,0,1
5,0,1
12,0,1
11,0,1
9,0,1
14,0,1
17,0,1
13,0,1
10,0,1
15,0,1
11,1,1
15,0,1
19,0,1
20,0,1
19,1,2
24,0,2
28,0,2
25,1,2
29,0,2
33,1,2
35,1,2
37,0,2
25,3,2
29,1,2
30,0,2
29,0,2
33,0,2
41,0,2
45,0,2
41,1,2
22,1,2
30,1,2
21,4,2
30,3,2
35,0,2
38,0,2
55,0,2
51,0,2
58,0,2
29,0,2
31,2,2
32,0,2
36,0,2
38,1,2
25,0,2
38,2,2
40,0,2
44,0,2
47,0,2
43,1,2
20,8,3
10,15,3
20,8,3
41,4,3
30,5,3
55,5,3
59,3,3
62,0,3
64,0,3
65,1,3
78,0,3
80,1,3
59,2,3
45,5,3
49,3,3
30,5,3
45,2,3
60,6,3
43,3,3
50,5,3
63,0,3
65,0,3
77,0,3
80,3,3
72,0,3
55,4,3
55,2,3
70,0,3
80,0,3
